vars,id,creation_time,failed,failed_reason,time_of_death,type,fingerprint_hash,recruiter_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,entry_information,status,elt_id,elt_id_max,time_credit,estimated_max_time_credit,progress,time_credit_fixes,progress_fixes,page_uuid,page_count,aborted,complete,pending_redirect,answer,answer_accumulators,sequences,branch_log,for_loops,failure_tags,base_payment,performance_reward,unpaid_bonus,total_wait_page_time,answer_is_fresh,browser_platform,module_state_id,current_trial_id,trial_status,awaited_async_code_block_process_id,class,object_type,aborted_modules,started_modules,finished_modules,module_id,bot_profile,bot_profile_seed,participant_group,last_color_response_metadata,test_variable,liked_experiment,find_experiment_difficult,encountered_technical_problems
"{""bot_profile"": ""normal_rgb"", ""bot_profile_seed"": 20260615, ""participant_group"": ""B"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T09:30:17.666271"", ""__gibbs_demo__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T09:30:16.478889"", ""last_color_response_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""carrot"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [233, 143, 199], ""submitted_channel_response"": 218, ""response_distance_from_start"": 19}, ""test_variable"": 123, ""liked_experiment"": ""I'm a bot so I don't really have feelings..."", ""find_experiment_difficult"": ""I'm a bot so I found it pretty easy..."", ""encountered_technical_problems"": ""No technical problems.""}",1,2026-06-15 09:30:15,False,,,Bot,,generic,84045459-32f0-47a1-92c7-05b2efd6e759,7c721849-8ae7-471b-afe7-57be5ce5af5d:84045459-32f0-47a1-92c7-05b2efd6e759,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",60.0,60.0,1.0,[],[1.0],badeffd6-bc30-55cd-7305-202670186f7e,14,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.34,1.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""gibbs_demo"", ""feedback""]","[""gibbs_demo"", ""feedback""]",,normal_rgb,20260615,B,"{""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""carrot"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [233, 143, 199], ""submitted_channel_response"": 218, ""response_distance_from_start"": 19}",123,I'm a bot so I don't really have feelings...,I'm a bot so I found it pretty easy...,No technical problems.
"{""bot_profile"": ""random"", ""bot_profile_seed"": 20260615, ""participant_group"": ""A"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T09:30:19.708589"", ""__gibbs_demo__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T09:30:18.514336"", ""last_color_response_metadata"": {""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""carrot"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [135, 190, 38], ""submitted_channel_response"": 129, ""response_distance_from_start"": 61}, ""test_variable"": 123, ""liked_experiment"": ""I'm a bot so I don't really have feelings..."", ""find_experiment_difficult"": ""I'm a bot so I found it pretty easy..."", ""encountered_technical_problems"": ""No technical problems.""}",2,2026-06-15 09:30:15,False,,,Bot,,generic,b38b42fd-59b1-42b8-a95d-7a8cf6cb65dc,6cf97202-49fe-40a3-a43e-2ca38636c390:b38b42fd-59b1-42b8-a95d-7a8cf6cb65dc,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",60.0,60.0,1.0,[],[1.0],ebd153b6-739d-49e6-3627-a5d85c6d0401,14,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.34,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""gibbs_demo"", ""feedback""]","[""gibbs_demo"", ""feedback""]",,random,20260615,A,"{""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""carrot"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [135, 190, 38], ""submitted_channel_response"": 129, ""response_distance_from_start"": 61}",123,I'm a bot so I don't really have feelings...,I'm a bot so I found it pretty easy...,No technical problems.
"{""bot_profile"": ""normal_rgb"", ""bot_profile_seed"": 20260615, ""participant_group"": ""B"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T09:30:21.740951"", ""__gibbs_demo__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T09:30:20.563837"", ""last_color_response_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""rock"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [216, 122, 30], ""submitted_channel_response"": 36, ""response_distance_from_start"": 6}, ""test_variable"": 123, ""liked_experiment"": ""I'm a bot so I don't really have feelings..."", ""find_experiment_difficult"": ""I'm a bot so I found it pretty easy..."", ""encountered_technical_problems"": ""No technical problems.""}",3,2026-06-15 09:30:15,False,,,Bot,,generic,34c781e3-dada-4da9-89d6-0b81775698f4,1704883d-d74a-4202-9bf1-b4b3eb813ea0:34c781e3-dada-4da9-89d6-0b81775698f4,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",60.0,60.0,1.0,[],[1.0],eff2eb73-5926-1ea8-2f70-29cbccf710ef,14,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.34,0.5,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""gibbs_demo"", ""feedback""]","[""gibbs_demo"", ""feedback""]",,normal_rgb,20260615,B,"{""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""rock"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [216, 122, 30], ""submitted_channel_response"": 36, ""response_distance_from_start"": 6}",123,I'm a bot so I don't really have feelings...,I'm a bot so I found it pretty easy...,No technical problems.
"{""bot_profile"": ""normal_rgb"", ""bot_profile_seed"": 20260615, ""participant_group"": ""A"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T09:30:23.845019"", ""__gibbs_demo__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T09:30:22.706537"", ""last_color_response_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 4, ""participant_group"": ""A"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [205, 127, 146], ""submitted_channel_response"": 126, ""response_distance_from_start"": 1}, ""test_variable"": 123, ""liked_experiment"": ""I'm a bot so I don't really have feelings..."", ""find_experiment_difficult"": ""I'm a bot so I found it pretty easy..."", ""encountered_technical_problems"": ""No technical problems.""}",4,2026-06-15 09:30:15,False,,,Bot,,generic,ee96a3a7-ddb4-4902-b5d0-0435c75f2bc6,b4da934f-7fe7-4e56-88a2-177a8e26df5f:ee96a3a7-ddb4-4902-b5d0-0435c75f2bc6,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",60.0,60.0,1.0,[],[1.0],6587d78c-2e4b-c2cc-01e6-80ed6d3f5326,14,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.34,1.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""gibbs_demo"", ""feedback""]","[""gibbs_demo"", ""feedback""]",,normal_rgb,20260615,A,"{""bot_profile"": ""normal_rgb"", ""participant_id"": 4, ""participant_group"": ""A"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [205, 127, 146], ""submitted_channel_response"": 126, ""response_distance_from_start"": 1}",123,I'm a bot so I don't really have feelings...,I'm a bot so I found it pretty easy...,No technical problems.
"{""bot_profile"": ""random"", ""bot_profile_seed"": 20260615, ""participant_group"": ""B"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T09:30:25.797450"", ""__gibbs_demo__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T09:30:24.653710"", ""last_color_response_metadata"": {""bot_profile"": ""random"", ""participant_id"": 5, ""participant_group"": ""B"", ""target"": ""carrot"", ""active_channel"": ""red"", ""active_index"": 0, ""starting_values"": [254, 143, 208], ""submitted_channel_response"": 128, ""response_distance_from_start"": 126}, ""test_variable"": 123, ""liked_experiment"": ""I'm a bot so I don't really have feelings..."", ""find_experiment_difficult"": ""I'm a bot so I found it pretty easy..."", ""encountered_technical_problems"": ""No technical problems.""}",5,2026-06-15 09:30:15,False,,,Bot,,generic,1d532966-aa55-4b78-8061-49a29014e48c,8b742305-c0d0-4da5-b135-e6df4ae97138:1d532966-aa55-4b78-8061-49a29014e48c,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",60.0,60.0,1.0,[],[1.0],7759ea21-5b38-98c5-4cd3-ab2bb25c6174,14,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.34,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""gibbs_demo"", ""feedback""]","[""gibbs_demo"", ""feedback""]",,random,20260615,B,"{""bot_profile"": ""random"", ""participant_id"": 5, ""participant_group"": ""B"", ""target"": ""carrot"", ""active_channel"": ""red"", ""active_index"": 0, ""starting_values"": [254, 143, 208], ""submitted_channel_response"": 128, ""response_distance_from_start"": 126}",123,I'm a bot so I don't really have feelings...,I'm a bot so I found it pretty easy...,No technical problems.
"{""bot_profile"": ""random"", ""bot_profile_seed"": 20260615, ""participant_group"": ""A"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T09:30:27.778341"", ""__gibbs_demo__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T09:30:26.613633"", ""last_color_response_metadata"": {""bot_profile"": ""random"", ""participant_id"": 6, ""participant_group"": ""A"", ""target"": ""carrot"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [135, 196.5, 2], ""submitted_channel_response"": 183, ""response_distance_from_start"": 181}, ""test_variable"": 123, ""liked_experiment"": ""I'm a bot so I don't really have feelings..."", ""find_experiment_difficult"": ""I'm a bot so I found it pretty easy..."", ""encountered_technical_problems"": ""No technical problems.""}",6,2026-06-15 09:30:15,False,,,Bot,,generic,aaf6bdee-f79b-4955-8b32-59503a41fc63,db0ccb68-5e8d-4655-bb93-5311d1df2a96:aaf6bdee-f79b-4955-8b32-59503a41fc63,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",60.0,60.0,1.0,[],[1.0],15ddcc8d-06dc-9e48-aac9-9b29d6149a3f,14,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.34,0.5,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""gibbs_demo"", ""feedback""]","[""gibbs_demo"", ""feedback""]",,random,20260615,A,"{""bot_profile"": ""random"", ""participant_id"": 6, ""participant_group"": ""A"", ""target"": ""carrot"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [135, 196.5, 2], ""submitted_channel_response"": 183, ""response_distance_from_start"": 181}",123,I'm a bot so I don't really have feelings...,I'm a bot so I found it pretty easy...,No technical problems.
"{""bot_profile"": ""random"", ""bot_profile_seed"": 20260615, ""participant_group"": ""B"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T09:30:29.765891"", ""__gibbs_demo__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T09:30:28.615076"", ""last_color_response_metadata"": {""bot_profile"": ""random"", ""participant_id"": 7, ""participant_group"": ""B"", ""target"": ""carrot"", ""active_channel"": ""red"", ""active_index"": 0, ""starting_values"": [213, 143, 208], ""submitted_channel_response"": 65, ""response_distance_from_start"": 148}, ""test_variable"": 123, ""liked_experiment"": ""I'm a bot so I don't really have feelings..."", ""find_experiment_difficult"": ""I'm a bot so I found it pretty easy..."", ""encountered_technical_problems"": ""No technical problems.""}",7,2026-06-15 09:30:15,False,,,Bot,,generic,ca0daf9a-8b97-4903-b10d-51fb4fd4477a,8ff6ccf6-c8b7-4419-9d9d-5262f2018e89:ca0daf9a-8b97-4903-b10d-51fb4fd4477a,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",60.0,60.0,1.0,[],[1.0],8aa6d2e2-0c2c-9fd4-7481-3b0002544355,14,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.34,0.5,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""gibbs_demo"", ""feedback""]","[""gibbs_demo"", ""feedback""]",,random,20260615,B,"{""bot_profile"": ""random"", ""participant_id"": 7, ""participant_group"": ""B"", ""target"": ""carrot"", ""active_channel"": ""red"", ""active_index"": 0, ""starting_values"": [213, 143, 208], ""submitted_channel_response"": 65, ""response_distance_from_start"": 148}",123,I'm a bot so I don't really have feelings...,I'm a bot so I found it pretty easy...,No technical problems.
"{""bot_profile"": ""random"", ""bot_profile_seed"": 20260615, ""participant_group"": ""A"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T09:30:31.797910"", ""__gibbs_demo__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T09:30:30.617062"", ""last_color_response_metadata"": {""bot_profile"": ""random"", ""participant_id"": 8, ""participant_group"": ""A"", ""target"": ""rock"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [125, 207, 29], ""submitted_channel_response"": 237, ""response_distance_from_start"": 208}, ""test_variable"": 123, ""liked_experiment"": ""I'm a bot so I don't really have feelings..."", ""find_experiment_difficult"": ""I'm a bot so I found it pretty easy..."", ""encountered_technical_problems"": ""No technical problems.""}",8,2026-06-15 09:30:16,False,,,Bot,,generic,b37eaf7b-cbbd-44d2-bac3-ed25e648a9e0,f257bf17-aabe-4bb5-90c3-188e55476159:b37eaf7b-cbbd-44d2-bac3-ed25e648a9e0,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",60.0,60.0,1.0,[],[1.0],de03d4a3-6926-9f2f-8b9c-caeacaef9ec8,14,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.34,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""gibbs_demo"", ""feedback""]","[""gibbs_demo"", ""feedback""]",,random,20260615,A,"{""bot_profile"": ""random"", ""participant_id"": 8, ""participant_group"": ""A"", ""target"": ""rock"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [125, 207, 29], ""submitted_channel_response"": 237, ""response_distance_from_start"": 208}",123,I'm a bot so I don't really have feelings...,I'm a bot so I found it pretty easy...,No technical problems.
"{""bot_profile"": ""normal_rgb"", ""bot_profile_seed"": 20260615, ""participant_group"": ""B"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T09:30:33.806843"", ""__gibbs_demo__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T09:30:32.630229"", ""last_color_response_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 9, ""participant_group"": ""B"", ""target"": ""banana"", ""active_channel"": ""red"", ""active_index"": 0, ""starting_values"": [253, 75.5, 92.5], ""submitted_channel_response"": 255, ""response_distance_from_start"": 2}, ""test_variable"": 123, ""liked_experiment"": ""I'm a bot so I don't really have feelings..."", ""find_experiment_difficult"": ""I'm a bot so I found it pretty easy..."", ""encountered_technical_problems"": ""No technical problems.""}",9,2026-06-15 09:30:16,False,,,Bot,,generic,6cde7a5d-78ba-4ffd-85bc-9cd5b1b06999,458d5f55-9ba0-4dcc-94ed-3cc20016b37e:6cde7a5d-78ba-4ffd-85bc-9cd5b1b06999,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",60.0,60.0,1.0,[],[1.0],bae6c7ad-62e8-12b3-dba0-14c9fe447089,14,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.34,1.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""gibbs_demo"", ""feedback""]","[""gibbs_demo"", ""feedback""]",,normal_rgb,20260615,B,"{""bot_profile"": ""normal_rgb"", ""participant_id"": 9, ""participant_group"": ""B"", ""target"": ""banana"", ""active_channel"": ""red"", ""active_index"": 0, ""starting_values"": [253, 75.5, 92.5], ""submitted_channel_response"": 255, ""response_distance_from_start"": 2}",123,I'm a bot so I don't really have feelings...,I'm a bot so I found it pretty easy...,No technical problems.
"{""bot_profile"": ""normal_rgb"", ""bot_profile_seed"": 20260615, ""participant_group"": ""A"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T09:30:35.828966"", ""__gibbs_demo__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T09:30:34.658613"", ""last_color_response_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 10, ""participant_group"": ""A"", ""target"": ""carrot"", ""active_channel"": ""red"", ""active_index"": 0, ""starting_values"": [89, 196.5, 181], ""submitted_channel_response"": 116, ""response_distance_from_start"": 27}, ""test_variable"": 123, ""liked_experiment"": ""I'm a bot so I don't really have feelings..."", ""find_experiment_difficult"": ""I'm a bot so I found it pretty easy..."", ""encountered_technical_problems"": ""No technical problems.""}",10,2026-06-15 09:30:16,False,,,Bot,,generic,84947b0f-ec37-4652-9aa0-b71ff6c75717,2a069146-ba04-443d-b4e5-aa22db9f6f09:84947b0f-ec37-4652-9aa0-b71ff6c75717,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",60.0,60.0,1.0,[],[1.0],4d2a77be-2bc4-e7a1-0377-13e1d8eab47e,14,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.34,0.5,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""gibbs_demo"", ""feedback""]","[""gibbs_demo"", ""feedback""]",,normal_rgb,20260615,A,"{""bot_profile"": ""normal_rgb"", ""participant_id"": 10, ""participant_group"": ""A"", ""target"": ""carrot"", ""active_channel"": ""red"", ""active_index"": 0, ""starting_values"": [89, 196.5, 181], ""submitted_channel_response"": 116, ""response_distance_from_start"": 27}",123,I'm a bot so I don't really have feelings...,I'm a bot so I found it pretty easy...,No technical problems.
