vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_created_trials,n_completed_trials,trial_maker_initialized,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2026-06-15 09:30:16,False,,,1,gibbs_demo,1,2026-06-15 09:30:16,2026-06-15 09:30:17,,True,True,False,ChainTrialMakerState,B,True,"{""score"": 1.0, ""passed"": true}","[2, 1, 4]",3,4,7,True,"[""default""]",0,default,"[8, 4, 2, 6, 4, 8, 6]",7,7,ChainTrialMakerState,ModuleState
{},2026-06-15 09:30:18,False,,,3,gibbs_demo,2,2026-06-15 09:30:18,2026-06-15 09:30:19,,True,True,False,ChainTrialMakerState,A,True,"{""score"": -0.5, ""passed"": true}","[8, 11, 9]",3,4,7,True,"[""default""]",0,default,"[3, 5, 1, 7, 3, 7, 5]",7,7,ChainTrialMakerState,ModuleState
{},2026-06-15 09:30:20,False,,,5,gibbs_demo,3,2026-06-15 09:30:20,2026-06-15 09:30:22,,True,True,False,ChainTrialMakerState,B,True,"{""score"": 0.5, ""passed"": true}","[16, 15, 17]",3,4,7,True,"[""default""]",0,default,"[6, 8, 4, 2, 8, 6, 4]",7,7,ChainTrialMakerState,ModuleState
{},2026-06-15 09:30:22,False,,,7,gibbs_demo,4,2026-06-15 09:30:22,2026-06-15 09:30:23,,True,True,False,ChainTrialMakerState,A,True,"{""score"": 1.0, ""passed"": true}","[25, 24, 22]",3,4,7,True,"[""default""]",0,default,"[7, 5, 3, 1, 1, 3, 7]",7,7,ChainTrialMakerState,ModuleState
{},2026-06-15 09:30:24,False,,,9,gibbs_demo,5,2026-06-15 09:30:24,2026-06-15 09:30:25,,True,True,False,ChainTrialMakerState,B,True,"{""score"": -0.5, ""passed"": true}","[30, 29, 32]",3,4,7,True,"[""default""]",0,default,"[2, 8, 4, 6, 8, 2, 6]",7,7,ChainTrialMakerState,ModuleState
{},2026-06-15 09:30:26,False,,,11,gibbs_demo,6,2026-06-15 09:30:26,2026-06-15 09:30:27,,True,True,False,ChainTrialMakerState,A,True,"{""score"": 0.5, ""passed"": true}","[39, 36, 37]",3,4,7,True,"[""default""]",0,default,"[3, 5, 7, 1, 1, 3, 5]",7,7,ChainTrialMakerState,ModuleState
{},2026-06-15 09:30:28,False,,,13,gibbs_demo,7,2026-06-15 09:30:28,2026-06-15 09:30:29,,True,True,False,ChainTrialMakerState,B,True,"{""score"": 0.5, ""passed"": true}","[43, 45, 44]",3,4,7,True,"[""default""]",0,default,"[8, 6, 2, 4, 8, 2, 6]",7,7,ChainTrialMakerState,ModuleState
{},2026-06-15 09:30:30,False,,,15,gibbs_demo,8,2026-06-15 09:30:30,2026-06-15 09:30:31,,True,True,False,ChainTrialMakerState,A,True,"{""score"": -0.5, ""passed"": true}","[50, 52, 51]",3,4,7,True,"[""default""]",0,default,"[5, 3, 1, 7, 5, 1, 3]",7,7,ChainTrialMakerState,ModuleState
{},2026-06-15 09:30:32,False,,,17,gibbs_demo,9,2026-06-15 09:30:32,2026-06-15 09:30:33,,True,True,False,ChainTrialMakerState,B,True,"{""score"": 1.0, ""passed"": true}","[60, 58, 59]",3,4,7,True,"[""default""]",0,default,"[4, 6, 8, 2, 2, 6, 8]",7,7,ChainTrialMakerState,ModuleState
{},2026-06-15 09:30:34,False,,,19,gibbs_demo,10,2026-06-15 09:30:34,2026-06-15 09:30:35,,True,True,False,ChainTrialMakerState,A,True,"{""score"": 0.5, ""passed"": true}","[65, 64, 67]",3,4,7,True,"[""default""]",0,default,"[7, 3, 1, 5, 3, 7, 5]",7,7,ChainTrialMakerState,ModuleState
